id,eyesight,leader,mi_a,mi_b,mi_c,mi_d,mi_e,mi_f,mi_g,mi_h,created_at,updated_at
"1","8","1","7","9","7","9","8","8","9","8","'2023-06-15T10:47:45.705976'","'2023-06-15T10:47:45.705976'"
"2","8","3","3","6","5","5","5","4","7","6","'2023-06-15T10:47:45.705976'","'2023-06-15T10:47:45.705976'"
"3","1","3","7","9","6","9","9","5","9","7","'2023-06-15T10:47:45.705976'","'2023-06-15T10:47:45.705976'"
"4","1","1","9","7","5","5","6","5","1","4","'2023-06-15T10:47:45.705976'","'2023-06-15T10:47:45.705976'"
"5","1","8","9","8","9","9","9","7","6","9","'2023-06-15T10:47:45.705976'","'2023-06-15T10:47:45.705976'"
"6","1","8","8","8","9","6","7","7","7","9","'2023-06-15T10:47:45.705976'","'2023-06-15T10:47:45.705976'"
"7","1","8","7","7","8","9","8","8","7","9","'2023-06-15T10:47:45.705976'","'2023-06-15T10:47:45.705976'"
"8","1","1","7","5","7","3","5","2","6","8","'2023-06-15T10:47:45.705976'","'2023-06-15T10:47:45.705976'"
"9","1","3","8","7","6","6","8","5","8","8","'2023-06-15T10:47:45.705976'","'2023-06-15T10:47:45.705976'"
"10","1","1","5","7","5","4","5","6","4","6","'2023-06-15T10:47:45.705976'","'2023-06-15T10:47:45.705976'"
"11","1","8","6","5","4","8","6","7","6","8","'2023-06-15T10:47:45.705976'","'2023-06-15T10:47:45.705976'"
"12","1","1","1","1","1","1","1","1","1","1","'2023-06-15T10:47:45.705976'","'2023-06-15T10:47:45.705976'"
"13","1","1","8","6","5","4","6","4","6","9","'2023-06-15T10:47:45.705976'","'2023-06-15T10:47:45.705976'"
"14","3","8","5","5","5","6","9","5","8","6","'2023-06-15T10:47:45.705976'","'2023-06-15T10:47:45.705976'"
"15","1","8","4","6","8","7","9","7","7","8","'2023-06-15T10:47:45.705976'","'2023-06-15T10:47:45.705976'"
"16","1","3","6","7","6","8","6","7","3","7","'2023-06-15T10:47:45.705976'","'2023-06-15T10:47:45.705976'"
"17","1","1","9","4","4","1","4","4","7","1","'2023-06-15T10:47:45.705976'","'2023-06-15T10:47:45.705976'"
"18","3","1","6","5","5","4","8","5","6","7","'2023-06-15T10:47:45.705976'","'2023-06-15T10:47:45.705976'"
"19","1","8","6","9","9","8","9","8","8","9","'2023-06-15T10:47:45.705976'","'2023-06-15T10:47:45.705976'"
"20","3","8","8","9","9","7","9","8","9","9","'2023-06-15T10:47:45.705976'","'2023-06-15T10:47:45.705976'"
"21","1","3","2","4","1","3","1","4","9","1","'2023-06-15T10:47:45.705976'","'2023-06-15T10:47:45.705976'"
"22","1","1","2","4","6","2","3","4","2","2","'2023-06-15T10:47:45.705976'","'2023-06-15T10:47:45.705976'"
"23","1","8","7","7","5","5","7","7","3","3","'2023-06-15T10:47:45.705976'","'2023-06-15T10:47:45.705976'"
"24","1","1","5","6","6","5","5","7","5","9","'2023-06-15T10:47:45.705976'","'2023-06-15T10:47:45.705976'"
"25","8","1","3","6","7","4","3","6","3","7","'2023-06-15T10:47:45.705976'","'2023-06-15T10:47:45.705976'"
"26","1","3","7","9","7","7","7","8","8","6","'2023-06-15T10:47:45.705976'","'2023-06-15T10:47:45.705976'"
"27","3","8","4","5","6","7","5","4","3","9","'2023-06-15T10:47:45.705976'","'2023-06-15T10:47:45.705976'"
"28","1","1","6","8","7","8","7","7","8","9","'2023-06-15T10:47:45.705976'","'2023-06-15T10:47:45.705976'"
"29","8","8","7","8","9","8","9","8","9","9","'2023-06-15T10:47:45.705976'","'2023-06-15T10:47:45.705976'"
"30","1","1","7","7","4","4","6","5","6","8","'2023-06-15T10:47:45.705976'","'2023-06-15T10:47:45.705976'"
