eyesight,id,leader,mi_a,mi_b,mi_c,mi_d,mi_e,mi_f,mi_g,mi_h,created_at,updated_at
"8","1","1","7","9","7","9","8","8","9","8","'2023-06-15T10:47:45.705976'","'2023-06-15T10:47:45.705976'"
"6","2","7","8","3","3","6","5","5","5","4","'2023-06-15T10:47:45.705976'","'2023-06-15T10:47:45.705976'"
"7","3","9","1","3","7","9","6","9","9","5","'2023-06-15T10:47:45.705976'","'2023-06-15T10:47:45.705976'"
"4","4","1","1","1","9","7","5","5","6","5","'2023-06-15T10:47:45.705976'","'2023-06-15T10:47:45.705976'"
"9","5","6","1","8","9","8","9","9","9","7","'2023-06-15T10:47:45.705976'","'2023-06-15T10:47:45.705976'"
"9","6","7","1","8","8","8","9","6","7","7","'2023-06-15T10:47:45.705976'","'2023-06-15T10:47:45.705976'"
"9","7","7","1","8","7","7","8","9","8","8","'2023-06-15T10:47:45.705976'","'2023-06-15T10:47:45.705976'"
"8","8","6","1","1","7","5","7","3","5","2","'2023-06-15T10:47:45.705976'","'2023-06-15T10:47:45.705976'"
"8","9","8","1","3","8","7","6","6","8","5","'2023-06-15T10:47:45.705976'","'2023-06-15T10:47:45.705976'"
"6","10","4","1","1","5","7","5","4","5","6","'2023-06-15T10:47:45.705976'","'2023-06-15T10:47:45.705976'"
"8","11","6","1","8","6","5","4","8","6","7","'2023-06-15T10:47:45.705976'","'2023-06-15T10:47:45.705976'"
"1","12","1","1","1","1","1","1","1","1","1","'2023-06-15T10:47:45.705976'","'2023-06-15T10:47:45.705976'"
"9","13","6","1","1","8","6","5","4","6","4","'2023-06-15T10:47:45.705976'","'2023-06-15T10:47:45.705976'"
"6","14","8","3","8","5","5","5","6","9","5","'2023-06-15T10:47:45.705976'","'2023-06-15T10:47:45.705976'"
"8","15","7","1","8","4","6","8","7","9","7","'2023-06-15T10:47:45.705976'","'2023-06-15T10:47:45.705976'"
"7","16","3","1","3","6","7","6","8","6","7","'2023-06-15T10:47:45.705976'","'2023-06-15T10:47:45.705976'"
"1","17","7","1","1","9","4","4","1","4","4","'2023-06-15T10:47:45.705976'","'2023-06-15T10:47:45.705976'"
"7","18","6","3","1","6","5","5","4","8","5","'2023-06-15T10:47:45.705976'","'2023-06-15T10:47:45.705976'"
"9","19","8","1","8","6","9","9","8","9","8","'2023-06-15T10:47:45.705976'","'2023-06-15T10:47:45.705976'"
"9","20","9","3","8","8","9","9","7","9","8","'2023-06-15T10:47:45.705976'","'2023-06-15T10:47:45.705976'"
"1","21","9","1","3","2","4","1","3","1","4","'2023-06-15T10:47:45.705976'","'2023-06-15T10:47:45.705976'"
"2","22","2","1","1","2","4","6","2","3","4","'2023-06-15T10:47:45.705976'","'2023-06-15T10:47:45.705976'"
"3","23","3","1","8","7","7","5","5","7","7","'2023-06-15T10:47:45.705976'","'2023-06-15T10:47:45.705976'"
"9","24","5","1","1","5","6","6","5","5","7","'2023-06-15T10:47:45.705976'","'2023-06-15T10:47:45.705976'"
"7","25","3","8","1","3","6","7","4","3","6","'2023-06-15T10:47:45.705976'","'2023-06-15T10:47:45.705976'"
"6","26","8","1","3","7","9","7","7","7","8","'2023-06-15T10:47:45.705976'","'2023-06-15T10:47:45.705976'"
"9","27","3","3","8","4","5","6","7","5","4","'2023-06-15T10:47:45.705976'","'2023-06-15T10:47:45.705976'"
"9","28","8","1","1","6","8","7","8","7","7","'2023-06-15T10:47:45.705976'","'2023-06-15T10:47:45.705976'"
"9","29","9","8","8","7","8","9","8","9","8","'2023-06-15T10:47:45.705976'","'2023-06-15T10:47:45.705976'"
"8","30","6","1","1","7","7","4","4","6","5","'2023-06-15T10:47:45.705976'","'2023-06-15T10:47:45.705976'"
