id,student_id,flavor_id,created_at,updated_at,survey_id
"1","1","1","'2023-06-18T01:19:26.119514'","'2023-06-18T01:19:26.119514'","1"
"2","2","2","'2023-06-18T01:19:30.650074'","'2023-06-18T01:19:30.650074'","1"
"3","3","3","'2023-06-18T01:19:33.477691'","'2023-06-18T01:19:33.477691'","1"
"4","4","4","'2023-06-18T01:19:36.505039'","'2023-06-18T01:19:36.505039'","1"
"5","5","5","'2023-06-18T01:19:39.612806'","'2023-06-18T01:19:39.612806'","1"
"6","6","6","'2023-06-18T01:19:42.626737'","'2023-06-18T01:19:42.626737'","1"
"7","7","7","'2023-06-18T01:19:46.062078'","'2023-06-18T01:19:46.062078'","1"
"8","8","8","'2023-06-18T01:19:49.880528'","'2023-06-18T01:19:49.880528'","1"
"9","9","9","'2023-06-18T01:19:54.441693'","'2023-06-18T01:19:54.441693'","1"
"10","10","10","'2023-06-18T01:19:58.300663'","'2023-06-18T01:19:58.300663'","1"
"11","11","11","'2023-06-18T01:20:03.978572'","'2023-06-18T01:20:03.978572'","1"
"12","12","12","'2023-06-18T01:20:07.878791'","'2023-06-18T01:20:07.878791'","1"
"13","13","13","'2023-06-18T01:20:11.212841'","'2023-06-18T01:20:11.212841'","1"
"14","14","14","'2023-06-18T01:20:15.406115'","'2023-06-18T01:20:15.406115'","1"
"15","15","15","'2023-06-18T01:20:18.786934'","'2023-06-18T01:20:18.786934'","1"
"16","16","16","'2023-06-18T01:20:22.791128'","'2023-06-18T01:20:22.791128'","1"
"17","17","17","'2023-06-18T01:20:26.184761'","'2023-06-18T01:20:26.184761'","1"
"18","18","18","'2023-06-18T01:20:29.753599'","'2023-06-18T01:20:29.753599'","1"
"19","19","19","'2023-06-18T01:20:33.0564'","'2023-06-18T01:20:33.0564'","1"
"20","20","20","'2023-06-18T01:20:36.971973'","'2023-06-18T01:20:36.971973'","1"
"21","21","21","'2023-06-18T01:20:40.551293'","'2023-06-18T01:20:40.551293'","1"
"22","22","22","'2023-06-18T01:20:44.556793'","'2023-06-18T01:20:44.556793'","1"
"23","23","23","'2023-06-18T01:20:47.98358'","'2023-06-18T01:20:47.98358'","1"
"24","24","24","'2023-06-18T01:20:51.45236'","'2023-06-18T01:20:51.45236'","1"
"25","25","25","'2023-06-18T01:20:54.772456'","'2023-06-18T01:20:54.772456'","1"
"26","26","26","'2023-06-18T01:20:58.270151'","'2023-06-18T01:20:58.270151'","1"
"27","27","27","'2023-06-18T01:21:02.538567'","'2023-06-18T01:21:02.538567'","1"
"28","28","28","'2023-06-18T01:21:05.97287'","'2023-06-18T01:21:05.97287'","1"
"29","29","29","'2023-06-18T01:21:11.681614'","'2023-06-18T01:21:11.681614'","1"
"30","30","30","'2023-06-18T01:21:15.773587'","'2023-06-18T01:21:15.773587'","1"
